date,tether,usd_coin,binance_usd,dai,true_usd,paxos_standard
2019-04-08,2063283128,260350308,0,0,199732537,106112105
2019-04-09,2066844547,265216256,0,0,199818755,110422080
2019-04-10,2064883437,262609710,0,0,202168535,110263495
2019-04-11,2059702912,258528239,0,0,200934888,107080591
2019-04-12,2064188995,259272805,0,0,200083282,107526499
2019-04-13,2064796843,259546043,0,0,200465205,107676811
2019-04-14,2064081210,259764026,0,0,200706802,110163432
2019-04-15,2067703310,260475212,0,0,199388134,109313267
2019-04-16,2061673213,259230718,0,0,198086321,109186426
2019-04-17,2065850647,256300117,0,0,198619945,110366595
2019-04-18,2065512823,252667523,0,0,199382297,108091943
2019-04-19,2063243046,252670153,0,0,201756750,107865401
2019-04-20,2064755202,252978811,0,0,201689171,108290061
2019-04-21,2063756310,252669776,0,0,200251747,108793942
2019-04-22,2073682938,251326924,0,0,199569883,105005503
2019-04-23,2063826784,253170141,0,0,200159245,104449010
2019-04-24,2066710175,252588396,0,0,198513021,112610578
2019-04-25,2070342266,259219533,0,0,200863600,113407305
2019-04-26,2047353621,268611419,0,0,214056054,131698227
2019-04-27,2042786525,297244675,0,0,210235099,133752237
2019-04-28,2042468591,298089016,0,0,210254937,136765326
2019-04-29,2037015239,295234804,0,0,210036985,154102095
2019-04-30,2043145909,294502574,0,0,209550827,161420698
2019-05-01,2045683550,297466211,0,0,214870404,163819165
2019-05-02,2047453191,296634360,0,0,222955619,169917967
2019-05-03,2040987464,300022402,0,0,224357905,178933642
2019-05-04,2040275715,301467387,0,0,223646871,181179351
2019-05-05,2049693753,302125188,0,0,223208471,183603927
2019-05-06,2046294649,307719305,0,0,222932768,180655060
2019-05-07,2044767702,311013611,0,0,230365327,180766078
2019-05-08,2043100838,316455096,0,0,231684382,180685514
2019-05-09,2049871455,327655413,0,0,234671610,182391817
2019-05-10,2055745746,330250264,0,0,235268830,192421669
2019-05-11,2055140127,328135289,0,0,234180261,191119595
2019-05-12,2066120589,327956580,0,0,234624791,193648516
2019-05-13,2053320889,336959655,0,0,234763434,193027508
2019-05-14,2053965936,345778034,0,0,234013137,196641751
2019-05-15,2053417469,350286856,0,0,234876418,193839213
2019-05-16,2056410949,357037910,0,0,241117565,183413186
2019-05-17,2061844884,361720383,0,0,240943736,184136905
2019-05-18,2064324730,359777960,0,0,244168946,184742444
2019-05-19,2065505730,358756401,0,0,241840162,188837848
2019-05-20,2062926349,358555345,0,0,242853325,184255252
2019-05-21,2065921563,358200085,0,0,241819068,179556934
2019-05-22,2062090281,360266086,0,0,240954972,177725469
2019-05-23,2056883150,361312034,0,0,241203463,177588142
2019-05-24,2061262135,360687373,0,0,240710911,176733067
2019-05-25,2063259691,363359359,0,0,241547419,175966783
2019-05-26,2060613019,362378697,0,0,241023027,175823283
2019-05-27,2068333352,363429621,0,0,233500381,170509656
2019-05-28,2061622887,363932725,0,0,233337733,172744437
2019-05-30,2060746562,359590382,0,0,233342415,176047190
2019-05-31,2062917607,340665538,0,0,243467469,165489557
2019-06-01,2060729990,337018772,0,0,243632673,165786044
2019-06-02,2062694257,336543468,0,0,243141365,167200806
2019-06-03,2058220780,334451437,0,0,242527111,166584816
2019-06-04,2050467008,335910976,0,0,242656559,165132581
2019-06-05,2056503895,336589575,0,0,243887999,165347899
2019-06-06,2061510172,337983849,0,0,248299475,166290989
2019-06-07,2068011737,339394217,0,0,253583058,171194617
2019-06-08,2067383138,339416543,0,0,253503295,178060991
2019-06-09,2068443263,339434314,0,0,253744911,178508510
2019-06-10,2065095172,340351565,0,0,253576498,178132312
2019-06-11,2067920867,342143192,0,0,249763953,175586964
2019-06-12,2066354112,339575488,0,0,248644109,169711505
2019-06-13,2064333364,341070352,0,0,247622220,178070796
2019-06-14,2061629670,344673327,0,0,245068470,172840069
2019-06-15,2062747245,348823457,0,0,244955605,175080712
2019-06-16,2064294986,349968805,0,0,243897077,179102567
2019-06-17,2061521966,349808117,0,0,241809718,179490952
2019-06-18,2060407742,347100853,0,0,231494588,167133206
2019-06-19,2069235158,350947022,0,0,232936768,169578350
2019-06-20,3570229455,346818809,0,0,227470630,161077378
2019-06-21,3576128693,347033782,0,0,228211343,159096055
2019-06-22,3573088607,343842612,0,0,223800341,159105191
2019-06-23,3562869654,344687047,0,0,223597013,159903369
2019-06-24,3557802745,348304785,0,0,223562261,159850396
